ID|google_asr_before_sep|amazon_asr_before_sep|ground_truth|google_asr_after_sep|amazon_asr_after_sep
mix13_original_2|even though everybody was welcoming it's scary to come on to a show that's so established in there's a family there's like a routine and a system going to kind of come in|Even though everybody was welcoming, it's scary to come onto a show that's so established and there's a family and there's like a routine and a system going to kinda come in.|even though everybody was welcoming [unintelligible] to come into the show that's so established and there's a family and there's like routine and a system going to kind of come in|you know everybody's welcoming very moment to show them to come in|
mix14_original_1|favorite artist of mine that I would rather see them in a place like Town Hall then at like Madison Square Garden for instance so it's kind of for me a really big little|A favorite artist of mine that I would rather see them in a place like town hall than at like Madison Square Garden, for instance, so it's kind of, for me, a really big little.|ah favorite artist of mine i would rather seen them in a place like town hall than a like madison square garden for instance so it's kind of for me a really big little|your favorite artist is mine and I would rather see them in a place like town hall and then at like Madison Square Garden so it's kind of for me a really big little old|
mix14_original_2|you're like all man we're just going to roll over these people they don't have because it really is you figure out how to play this game as far as getting artists to come over to your team|You're like, oh man, we're just gonna roll over these people. They don't have, you know, because it really is you figure out how to play this game as far as getting artists to come over to your team.|[unintelligible] we are just gonna roll over this people they don't have they don't cause it's really is you figure out how to play this game as far getting artist to come over to your team|you're like almost going to roll over these people they don't have because it really is you figure out how to play this game as far as getting artists to come over to your team|
mix15_original_1|you see these two serious actors you see these guys that are trying to kill each other you know every every night we go|You see these two serious actors, you see these guys that are trying to kill each other, you know every every night we go out.|you see these two serious actors you see this guys that are trying to kill each other you know every eh every night we go|you see these two serious actors I'm see these guys that are trying to kill each other you know every every night we go|
mix15_original_2|it's pieces of film when so the background of the character has been emitted for whatever|Pieces of film when the background of the character has been admitted for whatever.|pieces of film when when said the background of the [unintelligible] has been admitted for whatever reas|when you go inside the background of the count has been admitted for whatever|
mix16_original_1|confession every day I went to took the Rosary every day so I always was in meditation and talk too much and we had|confession every day I went to I took the rosary every day, so I always was in meditation. I didn't talk too much and we'd have.|confession every day i went to i took the rosary every day so i always was in meditation and talk too much and we'd have|compassion every day I went to the Rosemary everyday I always was on meditation and talk too much|
mix16_original_2|talks of more Luther esk things whether it's a film whether it's a spin-off of Alice but nothing's set in stone it's a it's a nice rumor to sort of explore but I|Talks of more Luther esque things, whether it's a film, whether it's a spin off of Alice, but nothing's set in stone. It's a it's a nice to sort of explore, but I'm not.|talks of more [unintelligible] things whether is a film whether is a spin off a [unintelligible] but nothing sense is nice rumor to sort of explore but not|talk that's more Luther esk things whether it's film whether it's been off balance but nothing's set in stone it's a it's a nice rumor to sort of explore but I'm not|
mix17_original_1|in a different way does the same thing for a moment you know they both teach each other to choose life to choose hope and to accept that even though happy|In a different way does the same thing from Mohammed, you know, they both teach each other to choose life to choose hope and to accept that even though happiness.|a different way does the same thing for mohamed you know they both teach each other to choose life to choose hope and to accept that even no happy|in a different way does the same things on the Hop they both teach each other to choose life to choose cold and to accept that even though happy|
mix17_original_2|and my magic eyes hi I'm Alex Maria represent Jim Jefferies him and Warren hit it off at a party and Warren said to stay in touch so we're staying|And then my manager goes, hi, I'm Alex Murray, I represent Jim jefferies. Him and Warren hit it off at a party and Warren said to stay in touch, so we're staying in.|[unintelligible] you guys hi i'm alex maria represent ah jim jefferies him and ah warren [unintelligible] warren said to stay in touch so we staying in|Mischief my magic hi I'm Alex Maria represent Jim Jefferies him and Warren hit it off at a party and Warren said to stay in touch so which thank|
mix18_original_1|maybe so everybody is I think and that's what's so cool about Shark Night 3D is that we it takes place in a saltwater lake|Everybody is, I think, and that's what's so cool about shark night 3D is that we we it takes place in a saltwater lake, which.|everybody is i think and that's what's so cool about [unintelligible] it takes place in salt water lake ah which|waiting for everybody is I think and that's what's so cool about shark nice reviews that we it's just like in a saltwater lake|
mix18_original_2|to the room that is just ran by so I suggested that to Jim and he said his eyes let me see|Into the room then he just ran by, so I suggested that to Jim and his eyes, he said.|[unintelligible] there you just rent by so i suggested that to jimmy and [unintelligible] let me sh|your room did he just ran by so I meet me suggested that the gym and he said his eyes lit up with|
mix19_original_1|it's very cheap and get it on the in the supermarket and I use an expensive|It's very cheap, you can get it in the supermarket and I use an expensive.|is very cheap you can get it on the in the supermarket and are you using expensive|it's very cheap and get it on the in the supermarket and I using words pensive|
mix19_original_2|because you don't keep the height of that intensity but as you walk toward the|Because you don't keep the height of that intensity, but as you walk towards the job.|you dont't keep that high of that intensity but as you walk towards the jo|because you don't keep that height of that intensity but as you walked off the job|
mix20_original_1|hold it told it on the Dinah Shore show and he told her to many times that we were together but I guess he was down to his last 10|Hold it, he told it on the Dinah shore show and he told it many times that we were together. But I guess he was down to his last $10.|told about the [unintelligible] he told many times that we ah work together but i guess he was down to his last ten dolars|told them to go get on the Dinah Shore show so the many times that work together but I guess you down to his last ten dollars|
mix20_original_2|it takes place in Alberta a Newfoundland I mean but this could relate to Okotoks it could relate to Orangeville|It takes place in Alberta Newfoundland, I mean, but this could relate to Okay talks, it could relate to Orangeville.|it takes place on [unintelligible] land i mean but this can relate to [unintelligible] it can relate to orange ville|it takes place on upward a Newfoundland I mean what this cap relates to Opus hopes that could relate to warns bill|
mix21_original_1|yeah I don't get into that so much I you know I think I admire Microsoft for their achievements and I think though that the net Maybe|Yeah, I don't get into that so much. I think I admire Microsoft for their achievements and I think though that the Net maybe something.|yeah i i don't get into that so much i i you know i admire microsoft for their achivements and i think though that the net may be some|we have an engine is envelope and send it into that so much and I think I might go after their achieved auditions and I think I'm though that the mirror maybe something and|
mix21_original_2|I have an agent who finds me up and sends a scripts through to my door and then I go into the auditions and chat to people and play scenes and|I have an agent who phones me up and sends scripts through to my door and then I go into the auditions and chat to people and play scenes and.|i have an agent who [unintelligible] sends the scripts throught ah to my door and then i go into do auditions and uh chat people and places and ah|I found a job I tried open sender encrypts through to the microphone and then I go|
mix22_original_1|and I think Garth would do anything for her and really wants to protect her|And I think Garth would do anything for her and really wants to protect her.|and i think [unintelligible] would do anything for her and really wants to protect her|and think Arthur would do anything for her and really want to protect her|
mix22_original_2|or sometimes suffer from this terrible thing of indecision where I can see both|Or I sometimes suffer from this terrible thing of indecision where I can see both.|oh i i sometimes suffer from this terrible thing of indecision when i can see both|or sometimes suffer from his Generals in Winter to you and where I can see both|
mix23_original_1|eighteen of the 17 just going into 18 of the|18 of the 17 just going into 18 of the second.|oh eighteen of the seventeen just going into eighteen of the ah sec|18 of the 17 wisdom in the 18 of the tickets|
mix23_original_2|and I have a friend named Mike O'Brien who has bad tattoos on purpose so he|And I have a friend named Mike O'brien who has bad tattoos on purpose, so he has.|i have a friend named mike o'brien who has bad tattoos on purpose so we had|I have a friend named Mike O'Brien who has bad tattoos on purpose so we had|
mix24_original_1|home is where the heart is my family everyone is there but difference between India and|Yeah, home is where the heart is my family, everyone is there, but defense between India and.|yeah home is where the heart is my family everyone is there but defense between india and|yeah the only with Arthur's my family what's there but development in India|
mix24_original_2|I said I said congratulations on that Jennifer Aniston thing and he got all squirrelly on me|I said, I said congratulations on that jennifer Aniston thing and he got all squirrely on me.|i said i said congratulations on that jennifer aniston thing and he got all squirrely on me|I said that I said congratulations on that Jennifer Aniston thing and you get all squirrelly on me|
mix25_original_1|and it's not and is not a strong look but I just kind of think I've gotta just try and jump into the deep end because in a way that I'm locked into it|And it's not and it's not a strong look, but I just kind of think I've got to just try and jump into the deep end because in a way that I'm locked into it.|and it's not and it's not a strong look but i just kind of think i've got to just try and jump into the deep end because in a way that i'm locked into it|hi needs not strongest but I just kind of things|
mix25_original_2|you know for some people tell you obviously that old adage a that mimicry is the highest form of flattery but it's not you know you're not mimicking anything it's not like|You know, first of all, people will tell you, obviously that old adage that mimicry is the highest form of flattery, but it's not, you know, you're not mimicking anything, it's not like.|first of all people will tell you obviously that old adage that mimicry is the highest form of flattery but it's not you know you're not mimicking anything it's not like|it offers hope people will tell you that is obviously that old adage a that mimicry is the highest form of flattery but jump It's a you know you're not making anything with that like|
mix26_original_1|300 cameras around us to sculpture|With 300 cameras around us to sculpture.|with 300 [unintelligible] around us ah to sculpture and||
mix26_original_2|and Tim herlihy and Tim Dowling they wrote a character that was|And tim Herlihy and tim dowling they wrote a character that was.|and tim herlihy and tim dowling they wrote a character that was|entomology and some ghoul toys they wrote a character that was|
mix27_original_1|Jake relationship is almost like threefold because it's like a boy and his dog it's two best friends but then it's also like two brothers|Relationship is almost like three fold because it's like a boy and his dog, Its two best friends, but then it's also like two brothers.|relationship is almost like three fold because it's like a boy and his dog Its two best friends but then it's also like ah two brothers|Jake relationships almost like three folds because it's like a boy and his dog it's two best friends but then it's also like two brothers|
mix27_original_2|it was going to be 625 which is of course is what we're on now and the BBC Two would be engineered to this|It was going to be 6-5, which of course, is what we're on now, And the BBC two would be engineered to this day.|it was going to be six to five which of course is what we're on now and and the bbc two would be engineered to this day|it's going to be 65 which is of course is what we're on now and the zz2 would be engineered to the|
mix28_original_1|I was on an Anthem kick there for a second yeah which is super stressful it's stressful as an American|Was that an anthem kick there for a second which is super stressful, It's stressful as an american?|an anthem kick there for a second yeah which is super stressful it's stressful as an american|Anthem kick there for a second job which is stressful as an American|
mix28_original_2|the pool stuff and we rehearsed it over and over and over and over and over again and|Good stuff and we rehearsed it over and over and over and over and over again and.|good stuff and we rehearsed it over and over and over and over and over again and uh|the stuff and we were first it over and over and over and over and over again and|
mix29_original_1|to the shooting yes everybody was kind of like oh my God yeah so Cali|The shooting everybody was kind of like, oh my God, so Callie said.|the shooting yes everybody was kind of like oh my God yeah so Callie said|it with shootings yeah everybody was kind of like a oh my God yeah so Callie|
mix29_original_2|him that day and I haven't seen him since I had dinner with him last night|Him that day and I haven't seen him since I had dinner with him last night.|that day and i haven't seen him since i had dinner with him last night i|you know said they had been opened|
mix30_original_1|was the original director of The Jazz Singer and he came to see me in They're Playing Our Song on Broadway and came backstage and said that he wanted me to be in this|Was the original director of the jazz singer and he came to see me and they're playing our song on broadway and came backstage and said that he wanted me to be in this.|was the original director of the jazz singer and he came to see me and they're playing our song on broadway and came backstage and said that he wanted me to be in this|the original director for the jazz dance and he came to see me and they're playing Our Song on Broadway and came backstage and said that he wanted me to be in this|
mix30_original_2|HBO look after your very well they care about their actors and the crew and so they've made it very easy for us|HBO look after you very well, they care about their actors and the crew and so they've made it very easy for us.|hbo look after you very well they care about their actors and the crew and ah so they've made it very easy for us|HBO look after your very well they care about their actors and the crew and so they've made it very easy for us|
mix31_original_1|I mean I watch the show growing up and I loved it throughout my entire childhood|I mean I watched the show growing up and I loved it throughout my entire child.|i mean i watched the show growing up and i loved it throughout my entire child|I mean I watch the show growing up and I love this throughout my entire childhood|
mix31_original_2|officially this too much responsibility so I'll say that I'm Aficionado at eating|Food aficionado That's too much responsibility, so I'll say that I'm a aficionado at eating.|aficionado that's too much responsibility so i'll say that i'm a aficionado at eating|officially on it it's too much responsibility so I'll say that I'm Aficionado at eating|
mix32_original_1|the amazing thing about film is that and I've been very lucky I've shot in places and I've done stories and|The amazing thing about film is that, and I've been very lucky, I've shot in places and I've done stories especially.|the amazing thing about film is that and i've been very lucky i've shot in places and i've done ah ah stories and especial|that's the amazing thing about those that and I've been very lucky I've shot in places when I've done stories especially|
mix32_original_2|his daughter works for me and the White House just so there are connect the dots for sure|His daughter works for me in the White House now, so there are connect the dots for sure.|his daughter works for me in the white house now uh so there are connect the dots for sure|his daughter works for me and the White House announced so there are connect the dots for sure|
mix33_original_1|and the reason I like it is because we|And the reason I like it is because we shot.|and the the reason i like it is because we shot|the reason I like it is because we show|
mix33_original_2|traveling like I like to I like to drink whatever local beer|traveling like I'd like to, you know, I like to drink whatever local beer.|[unintelligible] like i'd like to you know i like to drink whatever local beer|traveling like I'd like to you know I like to drink whatever local beer|
mix34_original_1|it seems as if though only one family does most of the traveling they both dreaded equally these families|It seems as if though only one family does most of the traveling, they both dread it equally these families there.|it seems as if though only one family does most of the traveling they both dread it equally these families ah there|it seems as if though only one can lead us most of traveling they both read it equally these families|
mix34_original_2|to really listen to the Rhythm and thing it just like he did and it was a couple of times where I was like well can you play it with him so I can sing it with him so I'm making sure that I'm singing it correctly and he's saying everything with such|To really listen to the rhythm and sing it just like he did. And it was a couple of times I was like, can you play it with him so I can sing it with him, So I'm making sure that I'm singing it correctly and he sang everything with such passion.|really listen to the rhythm and sing it just like he did and it was a couple of times i was like can you play it with him so i can sing it with him so i'm making sure that i'm singing it correctly and he sang everything with such passion|the really listens to rid of thing it just like he did and it was a couple of times I was able can I play with him so I can sync it with him so I'm making sure that I'm saying it correctly it's the same everything with such|
mix35_original_1|you know when I was a child watching my father he started a program and beasts|You know when I was a child watching my father, he started a program in in b c.|you know when I was a child watching my father ah he started a program in in in b|you know when I was a child watching my father's he started a program and and BC|
mix35_original_2|really really you know slamming the charts and we were|Really, really, you know, slamming the charts and we were.|really really you know slamming the charts and ah we were|really really you know Slam in the charts and we were|
mix36_original_1|kind of see the little the little mini fit starting and I'm like oh no no I'm not ready for that yeah I will definitely take lots of videos|Kind of see the little, the little mini fit starting and I'm like, oh no, no, I'm not ready for that. Um yeah, I will definitely take lots of videos.|see the little the little mini fit starting and i'm like oh no no i'm not ready for that uh yeah i will i will definitely take lots of videos|little so little mini fit starting and I'm like no no no I'm not ready for that yeah well I will definitely ask her about it|
mix36_original_2|concerned about you know me getting my degree in my education because one of the things my mom said to me was that you know in this industry people they take|Concerned about, you know, me getting my my my degree and my education, because one of the things my mom said to me was that, you know, in this industry, people they take.|concerned about you know me getting my my my degree and my education because one of the things my mom said to me was that you know in this industry people they take|concerned about you know me getting my degree and my education because one of the things my mom says means that you know any please do straight people they take|
mix37_original_1|one dog in that school that old losers didn't run off to play with they go play in the park on the dog beds or in the broom closet but it's like those trainers used to always say your dogs|One dog in that school, that old lucious didn't run off to play with. They'd go play in the park, on the dog beds or in the broom closet. But it's like those trainers used to always say your dog spread.|one dog in that school that old lucious didn't run off to play with they'd go play in the park on the dog beds or in the broom closet but it's like those trainers used to always say your dog s|the mask|
mix37_original_2|Max Russo or Jesus Foster and I'll have to say I like Max Russo more because one holds a special place|Um, max russo or jesus Foster, and I'll have to say, um, I like max through somewhere because um, one holds a special place.|uh max russo or jesus foster and i'll have to say uh i like max through somewhere because uh one holds a special place|March was so friendly to sponsor and I'll have to say I like maximum somewhere because one holds a special place|
mix38_original_1|team is going to whisk me away we've had a very crazy day by the way it was very adventurous|The team is going to whisk me away. We've had a very crazy day, by the way, it was very adventurous.|the team is going to whisk me away we've had a very crazy day by the way it was very adventurous|physically leaving out of anything you'd be my date|
mix38_original_2|deal rap music is sampling and people who don't understand|Deal um Rap music is sampling and people who don't understand.|deal uh rap music is sampling and people who don't understand|deal rap music is sampling and people who don't understand|
mix39_original_1|been in Melbourne a lot so I you know I didn't get as much time as I'd like to but I was just in New Zealand and I actually had one of my first days off in a while|Been in Melbourne a lot, so, you know, I didn't get as much time as I'd like to, but um, I was just in New Zealand and I actually had one of my first days off in a while.|been in melbourne a lot so you know i didn't get as much time as i'd like to but uh i was just in new zealand and i actually had one of my first days off in a while|been in my want a lot so I know I didn't get as much time as I'd like to but I was just in New Zealand actually has a my first days off in a while|
mix39_original_2|going to make a film and we do have deadlines and it does have to like all cut together actually be watchable|And we do have deadlines and it does have to cut together actually be watchable.|to make a film and we do have deadlines and it does have to cut together actually be watchable|watchable|
mix40_original_1|which isn't these days a lot of European directors are making movies in English because it is becoming International|Which isn't these days a lot of european directors are making movies in english because it is becoming an international language.|which isn't these days a lot of european directors are making movies in english because it is becoming an international language|which is these days a lot of European directors are making movies in English because it was becoming International angry|
mix40_original_2|and performers and members of the audience and Scholars and academics to ask the question who may have wrote|And performers and members of the audience and scholars and academics to ask the question Who may have wrote the?|and performers and members of the audience and scholars and academics to ask the question who may have wrote|performers are members of the audience and Scholars and academics to ask the question who may have wrote|
mix41_original_1|a few months ago by him at a dinner party and having a wonderful time I'm with This Charming Man next to me and we're talking for hours and I said I'm sorry|Few months go by. I'm at a dinner party and having a wonderful time. I'm with this charming man next to me and we're talking for hours and I said, I'm sorry.|few months go by i'm at a dinner party and having a wonderful time i'm with this charming man next to me and we're talking for hours and i said i'm sorry|she wants to go out to dinner party and having a wonderful time I'm looking at charm km next to me you have followed hours and I said I'm sorry|
mix41_original_2|bring out the personality of the litigant so that if the end of the case you have followed me in this journey|Bring out the personality of the litigant so that at the end of the case you have followed me in this journey.|bring out the personality of the litigant so that at the end of the case you have followed me in this journey|drinking the personality of the litigant so that if the answers will land in front of me in this journey|
mix42_original_1|60 soon and and I think every 30 years everything changes to the point where|60 soon and and I think every 30 years everything changes to the point where you're like.|soon and and think every thirty years everything changes to the point where you're|and I think it would be 30 years everything changed to the point where|
mix42_original_2|always that's always the weirdest thing about being a film is if you go to the toilet is always someone waiting for you as you come|Always, that's always the weirdest thing about being in the film is that if you go to the toilet, there's always someone waiting for you as you come in.|ways that's always the weirdest thing about being in the film is that if you go to the toilet there's always someone waiting for you as you come|always that's always the weirdest thing about being a film is because the toilet there is someone waiting for you as you coming|
mix43_original_1|right I mean if you get yourself in trouble right I'm generally speaking a like the most normal guy|I mean if you get yourself in trouble, I'm generally speaking like the most normal guy.|i mean if you get yourself in trouble right i'm i'm generally speaking ah like the most normal guy|incredible generally speaking like the most normal guy|
mix43_original_2|ambitious wonderful very creative talented guy who|Young um ambitious, um wonderful, very creative, talented guy who um.|uh ambitious uh wonderful very creative talented guy uh who uh|it's wonderful very creative talented guy who|
mix44_original_1|you probably going through and that's what it comes down to even with the friendships you know and I think Sonam is|You're probably going through, um and and that's what it comes down to even with the friendships, you know, and I think cinema is one of.|you're probably going through uh and and that's what it comes down to even with the friendships you know and i think [unintelligible] is one|if you come down to help you know and I think|
mix44_original_2|to make it so that they can become a little more International or easily and so all through|To make it so that they can become a little more international more easily and so all through.|to make it so that they can become a little more international more easily and so all through|I'll be going to make it so that it can become a little more International penchant for you so all through|
mix45_original_1|kids kill her so she lives she sort of walks a tightrope but when she takes her medication she's very very able|Could kill her so she lives, she sort of walks a tightrope, but when she takes her medication she's very, very able.|kill her so she lives she sort of walks a tightrope but when she takes her medication she's very very able and|so she did it's a walker tightrope so when's your head come medication she's very very able|
mix45_original_2|and then I remember visiting pier in Bulgaria because he was prepping at the time and I sort of came back from Poland to sort of tell him about my trip|And then I remember visiting Peter in Bulgaria because he was prepping at the time and I sort of came back from Poland to tell him about my trip.|and then i remember visiting peter in bulgaria because he was prepping at the time and i sort of came back from poland to tell him about my trip|but then I remember visiting people in Bulgaria because he was present at the time the lines in the came back from Poland to sort of tell him I got my trip|
mix46_original_1|just so completely different because you have this fabulous new person in your life and that were 3 and that you know before we were to|Just so completely different because you have this fabulous new person in your life and now we're three and you know before we were two and.|so completely different ah because you have this fabulous new person in your life and now we're three and you know before we were two and|so completely different because people have been to the fabulous more person and a lot of women hate all this before we were removed to too|
mix46_original_2|LA but I had a very memorable trip from LA to Vancouver when my daughter was five weeks old we took a road trip from LA|La but I had a very memorable trip from La to Vancouver when my daughter was five weeks old, we took a road trip from.|but i had a very memorable ah trip from la to vancouver when my daughter was five weeks old we took a road trip from la to|LA but I had a very memorable trip from LA to Vancouver with my daughter loud vibrant so you know we took a road trip from LA|
mix47_original_1|just don't expect too much the main thing I've done that to me time to do this is going to be the best New Year's Eve|Just don't expect too much is the main thing I've done that too many times. This is going to be the best New Year's Eve.|just don't expect too much is the main thing i've done that too many times this is going to be the best new year's eve ev|if you don't expect too much the main thing I've done that to myself|
mix47_original_2|the end of the road and you can't really do that so much in real life because you'll get hurt or someone will start|And you can't really do that so much in real life because you'll get hurt or someone will start screaming.|and you can't really do that so much in real life because you'll get hurt or someone will start screaming|the Enduro and you can't really do that so I'm actually realize because you'll get hurt or someone will start|
mix48_original_1|the professional competition so ferocious the for the first six years that we were working across the street from each other on Chicago newspapers we hardly had a single conversation|Professional competition so ferocious that for the first six years that we were working across the street from each other on Chicago newspapers, we hardly had a single conversation.|professional competition so ferocious that for the first six years that we were working across the street from each other on chicago newspapers we hardly had a single conversation|professional competence and sulphurous is the for the first two years that we were working across the system|
mix48_original_2|short film before I was even no no before I really started acting even before I had an agent I did a film that was entered into rain dance|Short film before I was even known, or before I really started acting, even before I had an agent, I did a film that was entered into rain dance.|short film before i was even known or before i really started acting even before i had an agent i did a film that was entered into rain dance call|short film before I was even no no people I really started I didn't even before I had an agent I didn't feel that I was incidents around our schools|
mix49_original_1|that's right so Tim Rice and they're beautiful and will be part of the new Beauty and the Beast|That's very so tim rice and they're beautiful and will be part of the new Beauty and the Beast.|that's very so tim rice and they they're beautiful and ah will be part of the new beauty and the beast|attachment the Tim Rice and that beautiful and will be part of the new vision to be|
mix49_original_2|it one of the most beautiful spots on the earth I mean that beach is absolutely gorgeous and we got there and it's breathtaking|One of the most beautiful spots on the earth, I mean that beach is absolutely gorgeous and we got there and it's breathtaking.|one of the most beautiful spots on the earth i mean that beach is absolutely gorgeous and we got there and it's breath|it one of the most beautiful spots on the earth and that beach is absolutely gorgeous and we got there and it's breathtaking|
